Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Supported API version; Supported API version; TDP (Watts); Features
Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; TDP (Watts); Features
GeForce 7000M; February 1, 2006; MCP67MV; 90; Hyper Transport; 350; System memory; 1:2:2:2; 0.7; 0.7; Up to 256 from system memory; System memory; DDR2; 64/128; 9.0c; 2.1; Unknown; 
GeForce 7150M; February 1, 2006; MCP67M; 90; Hyper Transport; 425; System memory; 1:2:2:2; 0.85; 0.85; Up to 256 from system memory; System memory; DDR2; 64/128; 9.0c; 2.1; Unknown; 
GeForce Go 72002; January 2006; G72M; 90; PCIe ×16; 450; 700; 3:4:4:1; 0.45; 1.8; 64; 2.8; GDDR3; 32; 9.0c; 2.1; Unknown; 
GeForce Go 73002; January 2006; G72M; 90; PCIe ×16; 350; 700; 0.7; 1.4; 128, 256, 512; 5.60; Unknown; GDDR3; 9.0c; 2.1; Transparency Anti-Aliasing; 
GeForce Go 74002; January 2006; G72M; 90; PCIe ×16; 900; 0.9; 1.8; 64; 64, 256; 7.20; Unknown; GDDR3; 9.0c; 2.1; Transparency Anti-Aliasing; 
GeForce Go 7600; March 2006; 450; 90; PCIe ×16; 1000; 5:8:8:8; 3.6; 3.6; 256, 512; 16; Unknown; GDDR3; 9.0c; 2.1; 
GeForce Go 7600 GT; 2006; G73M; 90; PCIe ×16; 500; 1200; 4; 6; 128; 256; Scalable Link Interface (SLI), Transparency Anti-Aliasing; GDDR3; 19.2; 9.0c; 2.1; Unknown; 
GeForce Go 7700; 2006; G73-N-B1; 80; PCIe ×16; 450; 1000; 3.6; 5.4; 128; 512; Scalable Link Interface (SLI), Transparency Anti-Aliasing; GDDR3; 16; 9.0c; 2.1; Unknown; 
GeForce Go 7800; March 3, 2006; G70M; PCIe ×16; 400; 1100; 6:16:16:8; 3.2; 6.4; 256; Scalable Link Interface (SLI), Transparency Anti-Aliasing; GDDR3; 256; 9.0c; 2.1; 35; 
GeForce Go 7800 GTX; October 2005; G70M; 8:24:24:16; PCIe ×16; 400; 1100; 6.4; 9.6; 65; 256; Scalable Link Interface (SLI), Transparency Anti-Aliasing; GDDR3; 256; 9.0c; 2.1; 
GeForce Go 7900 GS; April 2006; G71M; PCIe ×16; 375; 1000; 7:20:20:16; 6; 7.5; 256; Scalable Link Interface (SLI), Transparency Anti-Aliasing; GDDR3; 256; 9.0c; 2.1; 32.0; 20
GeForce Go 7900 GTX; April 2006; G71M; 500; PCIe ×16; 1200; 8; 12; 256 512; 38.4; Scalable Link Interface (SLI), Transparency Anti-Aliasing; GDDR3; 256; 9.0c; 2.1; 
GeForce Go 7950 GTX; October 2006; G71M; 575; PCIe ×16; 1400; 9.2; 13.8; 512; 45; 44.8; Scalable Link Interface (SLI), Transparency Anti-Aliasing; GDDR3; 256; 9.0c; 2.1; 
