Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory
Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MiB); Bandwidth (GB/s); Bus type; Bus width (bit)
Radeon 9500; Oct. 24, 2002; R300 (Khan); 150; AGP 8x; 275; 270; 4:4:4:4; 1100; 1100; 1100; 275; 64, 128; 8.64, 17.28; DDR; 128, 256
Radeon 9500 Pro; Oct. 24, 2002; R300 (Khan); 150; AGP 8x; 275; 270; 8:4:8:8; 2200; 2200; 2200; 275; 128; 8.64; DDR; 
Radeon 9550; 2004; RV350 (Shivah); 130; AGP 8x; 200; 4:2:4:4; 128; 1000; 1000; 1000; 125; 64, 128, 256; 6.4; DDR; 
Radeon 9550 SE; 2004; RV350 (Shivah); 130; AGP 8x; 200; 4:2:4:4; 3.2; 1000; 1000; 1000; 125; 64, 128, 256; 64; DDR; 
Radeon 9600; 2003; RV350 (Shivah); 130; AGP 8x; 200; 4:2:4:4; 325; 1300; 1300; 1300; 162.5; 6.4; DDR; 
Radeon 9600 Pro; Mar. 6, 2003; RV350 (Shivah); 130; AGP 8x; 400; 4:2:4:4; 128, 256; 300; 128; 1600; 1600; 1600; 200; DDR; 9.6
Radeon 9600 SE; 2003; RV350 (Shivah); 130; AGP 8x; 325; 4:2:4:4; 200; 1300; 1300; 1300; 162.5; 64, 128, 256; 3.2; DDR; 64
Radeon 9600 XT; Sept. 30, 2003; RV360; 130; AGP 8x; 500; 4:2:4:4; 300; 2000; 2000; 2000; 250; 128, 256; 9.6; DDR; 
Radeon 9600 TX; 2003 (Medion OEM); R300 (Khan); 150; AGP 8x; 297; 270; 2376; 2376; 2376; 287; 128; 128; 8.6; DDR; 
Radeon 9700 TX; 2002 (Dell OEM); R300 (Khan); 150; AGP 8x; 263; 8:4:8:8; 263; 2104; 2104; 2104; 16.83; 128; DDR; 
Radeon 9700; Oct. 24, 2002; R300 (Khan); 150; AGP 8x; 275; 8:4:8:8; 275; 270; 256; 2200; 2200; 128; 2200; DDR; 17.28
Radeon 9700 Pro; July 18, 2002; R300 (Khan); 150; AGP 8x; 2600; 8:4:8:8; 2600; 2600; 256; 325; 128; DDR; 
Radeon 9800; 2003; 150; AGP 8x; 2600; 8:4:8:8; 2600; 2600; 256; 325; 128; DDR; 
Radeon 9800 XL; 2003; 350; 150; AGP 8x; 2800; 8:4:8:8; 2800; 2800; 256; 350; 128; DDR; 
Radeon 9800 XXL[ 19]; Oct. 1, 2003; R360; 150; AGP 8x; 390; 8:4:8:8; 338; 3120; 3120; 3120; 390; 128; 21.60; DDR; 256[ 19]
Radeon 9800 Pro; Mar. 1, 2003[ 20]; R350, R360; 150; AGP 8x; 380; 8:4:8:8; 340, 350; 3040; 3040; 3040; 380; 21.76, 22.40; DDR, GDDR2; 256; 
Radeon 9800 SE[ 21]; Mar. 1, 2003[ 22]; R350; 150; AGP 8x; 325, 380[ 21]; 270, 340[ 21]; 4:4:4:4[ 22]; 1300, 1520[ 21]; 128, 256; 1300, 1520[ 21]; 1300, 1520[ 21]; 325, 380[ 21]; 8.64, 21.76[ 21]; 128, 2562[ 21]; 
Radeon 9800 XT; Sept. 9, 2003; R360; 150; AGP 8x; 412; 365; 8:4:8:8; 3296; 3296; 3296; DDR; 412; 256; 23.36; 256
Radeon X1050 AGP; Dec. 7, 2006; RV350 (Shivah); 130; AGP 8x; 250; 200; 4:2:4:4; 1000; 1000; 1000; DDR; 125; 128, 256; 6.4; 128
Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MiB); Bandwidth (GB/s); Bus type; Bus width (bit)
Model; Launch; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; 
